timestamp,entrance,exit,temp,hum,pEntrance,pExit,pActualVehicule
0 days 00:00:01,34,47,20.064436128061132,33.300123805281636,4,1,8
0 days 00:00:01,12,21,21.602131215316906,63.090007215813785,2,4,143
0 days 00:00:01,16,45,25.701221320997206,59.57234459204322,4,1,386
0 days 00:00:01,30,0,26.14084756541238,46.41036252581908,1,3,36
0 days 00:00:01,46,5,12.179724498161837,56.607982930688564,2,4,83
0 days 00:00:01,20,1,17.6753858766435,39.52468621196631,2,1,368
0 days 00:00:01,37,43,25.56052162465042,55.61191613192765,1,3,222
0 days 00:00:01,12,36,22.027799406309295,40.464623396674455,4,3,307
0 days 00:00:01,12,29,13.439886016772643,42.74960116933332,2,4,267
0 days 00:00:01,37,8,27.253135633049784,45.70340235191543,3,1,129
0 days 00:00:01,3,1,16.207079265534414,48.107265237636625,2,1,323
0 days 00:00:01,48,9,15.190197842693937,54.728575543223414,3,3,330
0 days 00:00:01,46,17,20.247914613243974,55.050945307136644,3,2,298
0 days 00:00:01,3,3,25.995330199456586,35.772615414129696,1,2,451
0 days 00:00:01,29,33,18.904791328485,84.67636687366226,1,4,223
0 days 00:00:01,14,23,17.43138218228141,61.62217353535327,2,3,77
0 days 00:00:01,43,22,23.6745041461678,60.047020559218495,3,1,17
0 days 00:00:01,43,47,18.108895612342142,48.639541059258015,1,3,377
0 days 00:00:01,8,31,15.496716363905152,53.67236768561807,1,3,131
0 days 00:00:01,17,49,18.187741838638587,58.79092303235933,1,4,137
0 days 00:00:01,23,26,14.638377256684766,59.646321745028466,4,2,310
0 days 00:00:01,46,21,17.715033553711976,55.11902461971817,4,2,147
0 days 00:00:01,41,22,22.293377587372028,56.466662153447785,4,4,332
0 days 00:00:01,31,7,28.573406327519415,54.41764219292157,3,4,29
0 days 00:00:01,29,12,25.697878399086388,44.55085676354054,2,4,472
0 days 00:00:01,25,37,28.023350831668395,58.53458150340485,4,4,353
0 days 00:00:01,47,18,22.8613236615736,53.240609303370704,3,4,324
0 days 00:00:01,28,0,24.26487597797942,58.20395414220466,4,4,124
0 days 00:00:01,31,40,17.242047050429818,49.58188195975207,1,2,57
0 days 00:00:01,22,27,20.87991119424957,47.055571312583545,3,1,308
0 days 00:00:01,41,41,27.34979038364737,53.94810693170981,2,2,185
0 days 00:00:01,41,37,22.978583194957952,65.17183518267971,4,4,224
0 days 00:00:01,47,11,21.935545667381042,55.65093510846054,1,3,396
0 days 00:00:01,13,14,23.401779159170324,50.85354321323877,1,3,53
0 days 00:00:01,10,4,11.972371580769325,58.61666032713862,3,1,115
0 days 00:00:01,19,28,23.060817140859843,44.35697631440774,1,3,486
0 days 00:00:01,0,45,16.281672593962213,42.48998154668731,1,1,396
0 days 00:00:01,6,30,20.263034044608215,58.11857620785772,4,3,241
0 days 00:00:01,20,19,18.24123193312802,42.20041819210542,4,3,125
0 days 00:00:01,28,14,23.80664224826768,51.86441332819882,3,2,80
0 days 00:00:01,21,43,20.703217419157703,45.605825565934154,4,3,70
0 days 00:00:01,18,2,29.026945066125325,44.94526746733199,3,2,454
0 days 00:00:01,36,10,18.020302004238935,59.265037150168354,4,2,153
0 days 00:00:01,30,17,32.77703655322371,45.518838622301836,2,1,461
0 days 00:00:01,15,45,7.028957481617603,40.72396460209696,2,4,291
0 days 00:00:01,10,6,22.36690734845952,33.27890064639459,2,1,76
0 days 00:00:01,10,34,31.629146050235917,52.24595528124813,3,2,384
0 days 00:00:01,48,20,24.87692344780557,60.14916801125699,3,1,438
0 days 00:00:01,6,31,14.463969086577457,35.22542247027917,3,2,174
0 days 00:00:01,49,22,25.59982805800999,52.20088047707241,3,2,418
0 days 00:00:01,46,37,14.165507828625824,63.484509923911254,2,3,289
0 days 00:00:01,38,32,22.630408937419737,48.121918577595835,2,2,299
0 days 00:00:01,34,37,19.187854128803494,32.65616812937493,4,3,359
0 days 00:00:01,33,20,16.141197070320995,61.84508611199559,1,2,128
0 days 00:00:01,16,39,18.218455486123673,43.53660683622894,1,1,310
0 days 00:00:01,38,23,19.471488396182366,70.93590129258544,1,4,225
0 days 00:00:01,7,24,23.43209069630982,59.75420210132438,3,1,394
0 days 00:00:01,2,26,23.44416141944183,45.64851946441056,1,2,461
0 days 00:00:01,25,34,20.18765011637005,61.78400167549302,1,1,496
0 days 00:00:01,46,43,16.220708876678895,46.379345090375544,1,3,147
0 days 00:00:01,13,49,20.224990904612056,70.42292086569813,4,3,378
0 days 00:00:01,31,37,16.015974297775628,57.54755282229215,2,2,112
0 days 00:00:01,17,20,13.42459326789474,39.476296701097525,1,4,194
0 days 00:00:01,19,11,18.28325714983187,50.531957513923025,2,2,100
0 days 00:00:01,41,21,22.112977107749153,40.39244715382605,4,2,403
0 days 00:00:01,48,28,17.83027611409031,67.81783047421908,4,3,303
0 days 00:00:01,47,24,20.439959356124003,49.614994647933315,2,2,413
0 days 00:00:01,11,40,25.907097381258787,57.66226562745159,2,4,130
0 days 00:00:01,1,3,19.34389737733789,49.25563126063328,2,4,213
0 days 00:00:01,5,18,21.000851189871014,45.7613918917624,3,1,50
0 days 00:00:01,3,12,19.723485141152153,41.49600720184564,2,2,465
0 days 00:00:01,36,28,21.53239917237285,44.461936475050486,4,4,208
0 days 00:00:01,41,22,19.75127757162024,53.54107391221632,4,1,167
0 days 00:00:01,26,9,19.187256842288104,44.443382995027534,1,4,341
0 days 00:00:01,41,48,17.087373032976664,56.43373924237315,3,2,325
0 days 00:00:01,47,31,20.831673885520434,57.12458132866253,1,1,338
0 days 00:00:01,14,17,20.257506128551853,50.335897389995495,4,2,456
0 days 00:00:01,34,13,21.65955933445871,47.25365953434453,2,4,420
0 days 00:00:01,43,14,16.556087185260814,64.04381398464446,4,2,49
0 days 00:00:01,3,5,23.38480114766062,47.19626537268893,4,2,163
0 days 00:00:01,4,5,29.879762171785238,55.39329104085663,1,4,186
0 days 00:00:01,40,39,33.40343579007041,53.177695420160845,2,3,16
0 days 00:00:01,4,40,13.598548282005858,66.85141432910456,3,2,375
0 days 00:00:01,40,16,13.454876362719336,61.37085122393309,2,2,243
0 days 00:00:01,14,38,11.752394592054415,40.18973812827558,4,2,137
0 days 00:00:01,33,19,21.259644444222037,68.37083297220849,2,2,31
0 days 00:00:01,10,26,29.33256656922863,53.15574563367261,4,3,371
0 days 00:00:01,13,23,25.71317415054229,56.6442722128618,1,4,172
0 days 00:00:01,28,44,17.18512904646657,40.22303683261346,1,2,376
0 days 00:00:01,33,11,23.83513790649218,30.150644930808838,3,2,121
0 days 00:00:01,27,3,29.154840145448922,49.44372218613325,2,1,281
0 days 00:00:01,11,34,14.916542175954064,59.43184593727471,2,3,475
0 days 00:00:01,30,40,22.780400335659095,53.751317834229845,4,3,485
0 days 00:00:01,38,43,10.93431552796621,41.07398295948825,4,2,140
0 days 00:00:01,9,13,19.810159974720364,27.480760726155133,1,1,407
0 days 00:00:01,18,6,21.764475175749734,61.991942681912434,4,2,162
0 days 00:00:01,12,11,19.538990473282524,37.42952952705939,2,4,86
0 days 00:00:01,12,3,21.522153586553564,51.8842846656955,3,3,44
0 days 00:00:01,4,18,27.193737466912786,57.644261760050014,4,4,392
0 days 00:00:01,29,24,17.140350905161288,55.13873601699889,1,4,200
0 days 00:00:01,5,39,25.52750047440255,41.32668853017651,4,3,227
0 days 00:00:01,22,36,23.056671147013915,43.39671498530763,2,3,373
0 days 00:00:01,9,23,18.727539060891527,39.71679212862914,2,4,266
0 days 00:00:01,20,18,19.290221591673983,49.761558754293404,1,2,32
0 days 00:00:01,37,20,21.44871854342104,38.20526252470539,2,3,294
0 days 00:00:01,12,17,17.128069995772385,32.94179514275804,4,2,20
0 days 00:00:01,4,26,20.859483347390885,45.02745123592329,4,2,429
0 days 00:00:01,23,31,23.137729247617067,52.676307861857616,4,4,427
0 days 00:00:01,35,38,15.955019852554397,42.0840122140389,4,4,464
0 days 00:00:01,31,37,23.66481570958092,33.28542661712565,4,1,384
0 days 00:00:01,37,35,19.452768340084933,51.78318434011875,1,3,99
0 days 00:00:01,8,26,23.09405525118987,57.89793000455549,1,4,484
0 days 00:00:01,24,10,32.49442115224974,33.394091385719406,2,1,91
0 days 00:00:01,38,16,17.83357954231436,43.87882015518877,2,4,72
0 days 00:00:01,13,21,14.696981178278252,53.30247638240213,3,1,43
0 days 00:00:01,9,45,25.550165896516965,39.89000419235498,3,4,499
0 days 00:00:01,24,34,22.888599170643154,43.54918049697204,4,1,95
0 days 00:00:01,49,19,15.359693828826993,15.497658968628066,4,4,437
0 days 00:00:01,40,21,29.526740417807908,35.345076387413094,1,3,121
0 days 00:00:01,38,25,18.03676233730221,55.2375350549059,3,2,321
0 days 00:00:01,30,40,20.925008195523603,50.20213058045268,3,1,82
0 days 00:00:01,32,30,22.835853453449854,54.58845440256569,4,2,165
0 days 00:00:01,49,22,19.57798557944466,47.38589027882432,3,1,385
0 days 00:00:01,35,41,29.93886676196407,52.825058453935405,2,3,392
0 days 00:00:01,36,8,25.334085839825736,46.95876598565962,2,4,58
0 days 00:00:01,8,22,29.91009388622237,41.90430512225554,1,1,110
0 days 00:00:01,0,11,19.252084426430656,54.52842091036962,3,3,316
0 days 00:00:01,33,25,31.277614363322634,44.781310510118594,4,1,366
0 days 00:00:01,6,12,15.443651265621327,56.17210613511216,4,1,341
0 days 00:00:01,3,14,14.03978993920682,62.84378806218106,4,4,83
0 days 00:00:01,45,29,23.68348229037592,48.99786646220312,4,1,373
0 days 00:00:01,46,5,21.406174806316884,41.24248574827364,4,2,488
0 days 00:00:01,23,1,21.048265247961908,44.23764299358935,4,1,75
0 days 00:00:01,6,27,23.361890954603837,49.65296474212396,2,3,282
0 days 00:00:01,24,28,11.644714214561672,45.56791796328989,3,1,485
0 days 00:00:01,4,10,15.66628182312373,41.769462937859316,4,1,431
0 days 00:00:01,43,14,20.798119415384097,57.60147468968152,2,1,203
0 days 00:00:01,45,42,14.58587192885103,36.838020584809854,1,4,72
0 days 00:00:01,23,5,20.85664367921324,68.53095062202006,4,3,124
0 days 00:00:01,0,11,18.388054649593972,48.2945503966852,4,4,475
0 days 00:00:01,46,23,20.302570607723514,51.587180281690365,4,2,133
0 days 00:00:01,24,42,18.979947463954208,44.297342294096715,4,3,63
0 days 00:00:01,31,30,17.343544955970533,44.04145809101891,2,2,218
0 days 00:00:01,7,39,21.022890630533404,29.161978439959846,2,4,384
0 days 00:00:01,38,8,22.804030482383588,60.26396471496815,4,1,412
0 days 00:00:01,27,25,22.862654826370402,62.09399063066677,1,4,306
0 days 00:00:01,46,10,15.730870582798472,34.4410650082918,4,1,176
0 days 00:00:01,21,10,11.848929795387827,79.87760227758665,1,2,101
0 days 00:00:01,28,14,18.211645326116788,40.38677438592803,2,1,63
0 days 00:00:01,2,18,9.464963688849519,56.81991492291836,3,4,235
0 days 00:00:01,41,49,15.024839967218975,73.0675759155514,2,1,153
0 days 00:00:01,2,11,30.375474551971738,64.55039142756316,2,4,336
0 days 00:00:01,2,4,14.594649533451946,28.042723306296097,3,1,110
0 days 00:00:01,7,18,28.16654063302444,56.06636733287129,1,1,63
0 days 00:00:01,44,13,20.718323594034427,50.24471527427142,2,3,75
0 days 00:00:01,30,19,21.431602292343864,51.411710678943386,2,1,488
0 days 00:00:01,49,6,9.813791974624046,43.10906291203747,4,2,122
0 days 00:00:01,7,25,20.176469648387165,76.94877847239982,4,1,147
0 days 00:00:01,7,10,16.287298332148143,65.44635605572248,1,3,30
0 days 00:00:01,31,32,19.146803277933827,39.64628935646179,1,4,463
0 days 00:00:01,7,36,15.961944704032213,29.665472594032938,3,4,83
0 days 00:00:01,35,8,17.847172803172498,51.35009673215648,1,2,43
0 days 00:00:01,3,32,20.186948149057393,50.95924188773145,2,1,413
0 days 00:00:01,18,14,11.215352084231817,66.77821562265008,1,4,265
0 days 00:00:01,39,19,28.19839138211704,66.16683019779373,1,1,432
0 days 00:00:01,20,24,25.903861705983367,36.607328789703615,4,4,241
0 days 00:00:01,25,15,19.650362009936057,51.485534683840335,3,3,254
0 days 00:00:01,19,32,12.859545244279238,50.63380607900792,3,2,379
0 days 00:00:01,44,34,18.307506189282826,48.15443475755471,4,4,149
0 days 00:00:01,33,43,14.408668766296236,44.12378738193687,1,2,326
0 days 00:00:01,44,23,24.779600738110588,49.82544487764182,3,2,411
0 days 00:00:01,47,48,20.37812444248112,37.93581136477223,1,2,240
0 days 00:00:01,31,34,12.665320906677255,46.380620590791445,4,1,358
0 days 00:00:01,18,28,22.530603171554425,47.52478540960998,1,4,377
0 days 00:00:01,48,41,25.923322251143823,61.629287513442925,2,2,405
0 days 00:00:01,8,17,25.728660465084022,42.41834231794182,2,2,478
0 days 00:00:01,31,12,15.046379248040259,51.24068417378642,4,2,257
0 days 00:00:01,46,13,21.694341349032108,50.56429608622049,3,1,3
0 days 00:00:01,42,18,22.18718889861928,65.00452904832504,2,1,22
0 days 00:00:01,13,22,15.424303289403445,47.84401476930591,2,4,135
0 days 00:00:01,32,38,20.400244000662166,43.18857968196659,3,2,320
0 days 00:00:01,1,49,17.19312452178573,58.52035817081901,2,3,370
0 days 00:00:01,42,26,20.903151648967846,52.53729157712587,4,4,252
0 days 00:00:01,46,10,27.254539334299977,39.61237900357586,3,4,46
0 days 00:00:01,42,11,17.185935605726385,43.28141155366707,2,2,251
0 days 00:00:01,47,2,18.356767644787887,42.54230099163665,3,4,138
0 days 00:00:01,13,29,28.807990863556142,42.177922614039204,3,4,10
0 days 00:00:01,8,21,5.0059508712486185,40.8074123428635,1,1,366
0 days 00:00:01,30,20,10.970061466865605,52.426488922430764,1,1,104
